parent_foodcode,parent_desc,ingred_code1,ingred_desc1,ingred_wt1,ingred_code2,ingred_desc2,ingred_wt2,ingred_code3,ingred_desc3,ingred_wt3,ingred_code4,ingred_desc4,ingred_wt4
11300100.0,"Non-dairy milk, NFS",11350000.0,"Almond milk, sweetened",32.0,14091.0,"Beverages, almond milk, unsweetened, shelf stable",96.0,,,,,,
11300100.0,"Non-dairy milk, NFS",11350000.0,"Almond milk, sweetened",32.0,19335.0,"Sugars, granulated",4.0,,,,,,
11435100.0,"Yogurt, Greek, with oats",57227000.0,"Cereal, granola",20.0,8220.0,"Cereals ready-to-eat, QUAKER, Low Fat 100% Natural Granola with Raisins",25.0,,,,,,
11435100.0,"Yogurt, Greek, with oats",57227000.0,"Cereal, granola",20.0,8218.0,"Cereals ready-to-eat, QUAKER, QUAKER 100% Natural Granola with Oats, Wheat, Honey, and Raisins",25.0,,,,,,
11435100.0,"Yogurt, Greek, with oats",57227000.0,"Cereal, granola",20.0,8054.0,"Cereals ready-to-eat, QUAKER, 100% Natural Granola, Oats, Wheat and Honey",25.0,,,,,,
11435100.0,"Yogurt, Greek, with oats",57227000.0,"Cereal, granola",20.0,8571.0,"Cereals ready-to-eat, NATURE'S PATH, Organic FLAX PLUS, Pumpkin Granola",25.0,,,,,,
11440020.0,"Dill dip, yogurt based",99997510.0,"Onions, cooked, as ingredient",1.0,11282.0,"Onions, raw",100.0,,,,,,
11440030.0,"Onion dip, yogurt based",99997510.0,"Onions, cooked, as ingredient",10.0,11282.0,"Onions, raw",100.0,,,,,,
11440070.0,"Vegetable dip, yogurt based",99997510.0,"Onions, cooked, as ingredient",1.0,11282.0,"Onions, raw",100.0,,,,,,
11512030.0,"Hot chocolate / Cocoa, ready to drink, made with non-dairy milk",11350000.0,"Almond milk, sweetened",122.0,14091.0,"Beverages, almond milk, unsweetened, shelf stable",96.0,,,,,,
11512030.0,"Hot chocolate / Cocoa, ready to drink, made with non-dairy milk",11350000.0,"Almond milk, sweetened",122.0,19335.0,"Sugars, granulated",4.0,,,,,,
11512120.0,"Hot chocolate / Cocoa, ready to drink, made with non-dairy milk and whipped cream",11350000.0,"Almond milk, sweetened",122.0,14091.0,"Beverages, almond milk, unsweetened, shelf stable",96.0,,,,,,
11512120.0,"Hot chocolate / Cocoa, ready to drink, made with non-dairy milk and whipped cream",11350000.0,"Almond milk, sweetened",122.0,19335.0,"Sugars, granulated",4.0,,,,,,
11513310.0,"Chocolate milk, made from dry mix with non-dairy milk",11350000.0,"Almond milk, sweetened",122.0,14091.0,"Beverages, almond milk, unsweetened, shelf stable",96.0,,,,,,
11513310.0,"Chocolate milk, made from dry mix with non-dairy milk",11350000.0,"Almond milk, sweetened",122.0,19335.0,"Sugars, granulated",4.0,,,,,,
11513375.0,"Chocolate milk, made from reduced sugar mix with non-dairy milk",11350000.0,"Almond milk, sweetened",122.0,14091.0,"Beverages, almond milk, unsweetened, shelf stable",96.0,,,,,,
11513375.0,"Chocolate milk, made from reduced sugar mix with non-dairy milk",11350000.0,"Almond milk, sweetened",122.0,19335.0,"Sugars, granulated",4.0,,,,,,
11513385.0,"Chocolate milk, made from dry mix with non-dairy milk (Nesquik)",11350000.0,"Almond milk, sweetened",122.0,14091.0,"Beverages, almond milk, unsweetened, shelf stable",96.0,,,,,,
11513385.0,"Chocolate milk, made from dry mix with non-dairy milk (Nesquik)",11350000.0,"Almond milk, sweetened",122.0,19335.0,"Sugars, granulated",4.0,,,,,,
11513395.0,"Chocolate milk, made from no sugar added dry mix with non-dairy milk (Nesquik)",11350000.0,"Almond milk, sweetened",122.0,14091.0,"Beverages, almond milk, unsweetened, shelf stable",96.0,,,,,,
11513395.0,"Chocolate milk, made from no sugar added dry mix with non-dairy milk (Nesquik)",11350000.0,"Almond milk, sweetened",122.0,19335.0,"Sugars, granulated",4.0,,,,,,
11513750.0,"Chocolate milk, made from syrup with non-dairy milk",11350000.0,"Almond milk, sweetened",122.0,14091.0,"Beverages, almond milk, unsweetened, shelf stable",96.0,,,,,,
11513750.0,"Chocolate milk, made from syrup with non-dairy milk",11350000.0,"Almond milk, sweetened",122.0,19335.0,"Sugars, granulated",4.0,,,,,,
11513805.0,"Chocolate milk, made from light syrup with non-dairy milk",11350000.0,"Almond milk, sweetened",122.0,14091.0,"Beverages, almond milk, unsweetened, shelf stable",96.0,,,,,,
11513805.0,"Chocolate milk, made from light syrup with non-dairy milk",11350000.0,"Almond milk, sweetened",122.0,19335.0,"Sugars, granulated",4.0,,,,,,
