parent_foodcode,parent_desc,ingred_code1,ingred_desc1,ingred_wt1,ingred_code2,ingred_desc2,ingred_wt2,ingred_code3,ingred_desc3,ingred_wt3,ingred_code4,ingred_desc4,ingred_wt4
11459990.0,"Yogurt, frozen, NS as to flavor, NS as to type of milk",11460170.0,"Yogurt, frozen, flavors other than chocolate, lowfat milk",100.0,1298.0,"Yogurt, frozen, flavors other than chocolate, lowfat",100.0,,,,,,
11460150.0,"Yogurt, frozen, NS as to flavor, lowfat milk",11460170.0,"Yogurt, frozen, flavors other than chocolate, lowfat milk",100.0,1298.0,"Yogurt, frozen, flavors other than chocolate, lowfat",100.0,,,,,,
11461280.0,"Yogurt, frozen, cone, chocolate, lowfat milk",11460160.0,"Yogurt, frozen, chocolate, lowfat milk",75.3,1117.0,"Yogurt, plain, low fat, 12 grams protein per 8 ounce",81.8,,,,,,
11461280.0,"Yogurt, frozen, cone, chocolate, lowfat milk",11460160.0,"Yogurt, frozen, chocolate, lowfat milk",75.3,19335.0,"Sugars, granulated",13.0,,,,,,
11461280.0,"Yogurt, frozen, cone, chocolate, lowfat milk",11460160.0,"Yogurt, frozen, chocolate, lowfat milk",75.3,19166.0,"Cocoa, dry powder, unsweetened, processed with alkali",5.199999999999999,,,,,,
11553100.0,"Fruit smoothie, NFS",11432000.0,"Yogurt, low fat milk, fruit",226.1,1117.0,"Yogurt, plain, low fat, 12 grams protein per 8 ounce",88.0,,,,,,
11553100.0,"Fruit smoothie, NFS",11432000.0,"Yogurt, low fat milk, fruit",226.1,19297.0,Jams and preserves,12.0,,,,,,
11553100.0,"Fruit smoothie, NFS",11432000.0,"Yogurt, low fat milk, fruit",226.1,999328.0,Vitamin D as ingredient,0.012,,,,,,
11553110.0,"Fruit smoothie, with whole fruit and dairy",11432000.0,"Yogurt, low fat milk, fruit",226.61,1117.0,"Yogurt, plain, low fat, 12 grams protein per 8 ounce",88.0,,,,,,
11553110.0,"Fruit smoothie, with whole fruit and dairy",11432000.0,"Yogurt, low fat milk, fruit",226.61,19297.0,Jams and preserves,12.0,,,,,,
11553110.0,"Fruit smoothie, with whole fruit and dairy",11432000.0,"Yogurt, low fat milk, fruit",226.61,999328.0,Vitamin D as ingredient,0.012,,,,,,
11553120.0,"Fruit smoothie, with whole fruit and dairy, added protein",11432000.0,"Yogurt, low fat milk, fruit",226.61,1117.0,"Yogurt, plain, low fat, 12 grams protein per 8 ounce",88.0,,,,,,
11553120.0,"Fruit smoothie, with whole fruit and dairy, added protein",11432000.0,"Yogurt, low fat milk, fruit",226.61,19297.0,Jams and preserves,12.0,,,,,,
11553120.0,"Fruit smoothie, with whole fruit and dairy, added protein",11432000.0,"Yogurt, low fat milk, fruit",226.61,999328.0,Vitamin D as ingredient,0.012,,,,,,
12100100.0,"Cream, NS as to light, heavy, or half and half",12120100.0,"Cream, half and half",100.0,1049.0,"Cream, fluid, half and half",100.0,,,,,,
12350010.0,"Dip, NFS",12350230.0,"Ranch dip, regular",100.0,4025.0,"Salad dressing, mayonnaise, regular",50.0,,,,,,
12350010.0,"Dip, NFS",12350230.0,"Ranch dip, regular",100.0,1056.0,"Cream, sour, cultured",50.0,,,,,,
12350010.0,"Dip, NFS",12350230.0,"Ranch dip, regular",100.0,2047.0,"Salt, table",1.0,,,,,,
12350010.0,"Dip, NFS",12350230.0,"Ranch dip, regular",100.0,1094.0,"Milk, buttermilk, dried",1.0,,,,,,
12350010.0,"Dip, NFS",12350230.0,"Ranch dip, regular",100.0,2029.0,"Spices, parsley, dried",1.0,,,,,,
13120300.0,"Ice cream bar, cake covered",53105275.0,"Cake or cupcake, chocolate, devil's food or fudge, without icing or filling",60.0,18097.0,"Cake, pudding-type, chocolate, dry mix",467.775,,,,,,
13120300.0,"Ice cream bar, cake covered",53105275.0,"Cake or cupcake, chocolate, devil's food or fudge, without icing or filling",60.0,14411.0,"Water, tap, drinking",237.0,,,,,,
13120300.0,"Ice cream bar, cake covered",53105275.0,"Cake or cupcake, chocolate, devil's food or fudge, without icing or filling",60.0,4322.0,"Vegetable oil, averaged",72.659,,,,,,
